Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2023,NIJ co-sponsorship of the Center for Advanced Research in Forensic Science (CARFS),"NIJ Non-solicited Applications, FY 2023",National Science Foundation,,GOJPNIJ23000040,"$600,000",Open
2023,NIJ Community Violence Intervention Research and Evaluation Training and Technical Assistance (TTA) Center,"NIJ FY23 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research, Evaluation, and Associated Training & Technical Assistance Support",THE URBAN INSTITUTE,DC,15PNIJ-23-GG-04264-CVIP,"$5,000,000",Open
2023,NIJ FY23 National Study Examining Interpersonal Violence Experienced By Young Adults,NIJ FY23 National Study Examining Interpersonal Violence Experienced By Young Adults,"WESTAT, INC.",MD,15PNIJ-23-GK-02236-MUMU,"$1,000,000",Open
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Albrecht & Smirnova,Innovations in Measuring Community Perceptions Challenge,Albrecht & Smirnova,,2023-community-perceptions-0007,"$10,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Community PoliSense,Innovations in Measuring Community Perceptions Challenge,Community PoliSense,,2023-community-perceptions-0006,"$25,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Duddon Research,Innovations in Measuring Community Perceptions Challenge,Duddon Research,,2023-community-perceptions-0011,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Johnston & Company,Innovations in Measuring Community Perceptions Challenge,Johnston & Company,,2023-community-perceptions-0003,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Just Police,Innovations in Measuring Community Perceptions Challenge,Just Police,,2023-community-perceptions-0004,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: MCHawks,Innovations in Measuring Community Perceptions Challenge,MCHawks,,2023-community-perceptions-0001,"$25,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Michelle Masters,Innovations in Measuring Community Perceptions Challenge,Michelle Masters,,2023-community-perceptions-0009,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Micro-Community Policing Plans,Innovations in Measuring Community Perceptions Challenge,Micro-Community Policing Plans,,2023-community-perceptions-0002,"$10,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Mood mappers,Innovations in Measuring Community Perceptions Challenge,Mood mappers,,2023-community-perceptions-0012,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: Policing Accountability and Policy Evaluation Research Lab,Innovations in Measuring Community Perceptions Challenge,Policing Accountability and Policy Evaluation Research Lab,,2023-community-perceptions-0005,"$2,500",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: ScienceCast,Innovations in Measuring Community Perceptions Challenge,ScienceCast,,2023-community-perceptions-0008,"$5,000",Closed
2023,NIJ Innovations in Measuring Community Perceptions Challenge Winner: The Eagles,Innovations in Measuring Community Perceptions Challenge,The Eagles,,2023-community-perceptions-0010,"$5,000",Closed
2023,NIJ LEADS,NIJ FY23 Support for the Law Enforcement Advancing Data and Science Scholars Program,NATIONAL POLICING INSTITUTE,VA,15PNIJ-23-GK-04221-NIJB,"$1,000,000",Open
2023,NIJ Multisite Impact and Cost-Efficiency Evaluation of Veterans Treatment Courts,,AMERICAN UNIVERSITY,DC,15PNIJ-22-GK-00035-VTCX,"$1,500,000",Open
2023,Ontogenetic Study of the Pelvis Through Examination of Interlandmark Distances and Geometric Morphometric Analyses: Implications for Subadult Sex and Age Estimation,NIJ FY23 Graduate Research Fellowship,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED,NV,15PNIJ-23-GG-01940-RESS,"$111,000",Open
2023,Operationalizing the Individual versus Group Fairness Dichotomy for Recidivism Risk Assessment: US Legal Challenges and Technical Proposals,NIJ FY23 Graduate Research Fellowship,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,15PNIJ-23-GG-01932-RESS,"$166,500",Open
2023,Optimizing Analytical Parameters for Detection of Chronic and Single Dose Drug Exposure in Forensic Hair Analysis,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-23-GG-04208-MUMU,"$431,892",Open
2023,Optimizing New STRs for Enhanced DNA Mixture Deconvolution,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,THE UNIVERSITY OF NORTH TEXAS HEALTH SCIENCE CENTER AT FORT WORTH,TX,15PNIJ-23-GG-04214-RESS,"$513,529",Open
2023,Pathways to Resilience: Assessing the Impact of Juvenile Justice Reforms in Oklahoma,NIJ FY23 Research on Juvenile Justice Topics,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,VA,15PNIJ-23-GG-02409-TITL,"$1,095,972",Open
2023,Pivoting Headspace Ethanol Analysis to Accommodate Modern Day Scenarios,NIJ FY23 Research and Evaluation for the Testing and Interpretation of Physical Evidence in Publicly Funded Forensic Laboratories,COMMONWEALTH OF VIRGINIA DEPARTMENT OF FORENSIC SCIENCE,VA,15PNIJ-23-GG-01424-MUMU,"$371,593",Open
2023,Police Supervision Redux: Examining Police Supervision in the 21st Century,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",NATIONAL POLICING INSTITUTE,VA,15PNIJ-23-GG-05488-RESS,"$1,000,000",Open
2023,Policing Leadership and Accountability: Harnessing Big Data and Causal Inference for Evaluating Police Reform Practices,"NIJ FY23 Research and Evaluation on Policing Practices, Accountability Mechanisms, and Alternatives",UNIVERSITY OF UTAH,UT,15PNIJ-23-GG-05487-RESS,"$972,083",Open
2023,Positive Adolescent Interpersonal Relationships (PAIR): A Community-Based STRiV Study,NIJ FY23 Research  and Evaluation on Violence Against Women,NATIONAL OPINION RESEARCH CENTER,IL,15PNIJ-23-GG-01380-REVA,"$1,996,357",Open
2023,Pretrial Policy Change and Place: Evaluating the Impacts of Maryland's Bail Reform on Crime and Pretrial Outcomes across Courts,NIJ FY23 Graduate Research Fellowship,UNIVERSITY OF CALIFORNIA IRVINE,CA,15PNIJ-23-GG-01931-RESS,"$55,500",Open
2023,PRISONERS ON THE MOVE: EXAMINING THE NATURE AND EFFECTS OF PRISON TRANSIENCY ON INCARCERATED INDIVIDUALS,NIJ FY23 Graduate Research Fellowship,CINCINNATI UNIV OF,OH,15PNIJ-23-GG-01936-RESS,"$105,000",Open
2023,Procedural Justice in Jails,NIJ FY23 Research and Evaluation on Correctional Culture and Climate,THE CNA CORPORATION,VA,15PNIJ-23-GG-06105-MUMU,"$894,789",Open
2023,Quantification of psychotropic cannabinoids in newly emerging hemp-derived products and evaluation of their stability and interconversion during storage,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,WESTERN ILLINOIS UNIVERSITY,IL,15PNIJ-23-GG-04234-RESS,"$251,505",Open
2023,Quantifying the accuracy of low quality DNA sample analysis from genotyping to genealogical searching and integration as a bioinformatic pipeline,NIJ FY 2023 Invited to Apply - Funding to Support the Research and Development in Forensic Science for Criminal Justice Purposes Program,UNIVERSITY OF OREGON,OR,15PNIJ-23-AG-04262-DNAX,"$266,406",Open
2023,Quantifying the strength of support in fingerprint casework comparisons,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04227-SLFO,"$609,185",Open
2023,"Quantitative and visual prediction of eye, hair and skin color from DNA",NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,TRUSTEES OF INDIANA UNIVERSITY,IN,15PNIJ-23-GG-04206-RESS,"$980,527",Open
2023,Quantitative Assessment of Fracture Characteristics in Blunt Force Skeletal Trauma for Forensic Interpretations,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,"OHIO STATE UNIVERSITY, THE",OH,15PNIJ-23-GG-04219-SLFO,"$818,054",Open
2023,Rapid screening and identification of fentanyl in drug mixtures using surface enhanced Raman spectroscopy,NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-23-GG-04230-RESS,"$190,662",Open
2023,Recovery and Analysis of Less Volatile Components for the Identification of Ignitable Liquid Residues in Fire Debris - Continuation of current NIJ-funded project (2020-DQ-BX-0003),NIJ FY23 Research and Development in Forensic Science for Criminal Justice Purposes,MIDDLE TENNESSEE STATE UNIVERSITY,TN,15PNIJ-23-GG-04223-RESS,"$99,818",Open
