Fiscal Year,Title,Funding Opportunity,Awardee,State,Award Number,Award Amount,Award Status
2024,"Establishing Police-Led Science in the Wauwatosa, WI Police Department",NIJ FY24 Field-Initiated Action Research Partnerships,NORTHEASTERN UNIVERSITY,MA,15PNIJ-24-GG-05456-NIJB,"$398,884",Open
2024,"Evaluating the Effectiveness of a Community-led, School-based Secure Firearm Storage Campaign in Michigan",NIJ FY24 Research and Evaluation on Firearm Violence and Mass Shootings,REGENTS OF THE UNIVERSITY OF MICHIGAN,MI,15PNIJ-24-GG-02403-STOP,"$998,907",Open
2024,Evaluating Virtual Reality Enhancements of an Evidence-based Multi-tiered Aggression & Bullying Prevention Program,NIJ FY24 Research and Evaluation on School Safety,THE CHILDREN'S HOSPITAL OF PHILADELPHIA,PA,15PNIJ-24-GG-01052-STOP,"$2,335,668",Open
2024,"Evaluation of Community-Based Violence Intervention and Prevention Initiatives (CVIPI) in New Haven, CT",NIJ FY24 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research and Evaluation,"UNIVERSITY OF NEW HAVEN, INCORPORATED",CT,15PNIJ-24-GG-02986-CVIP,"$788,241",Open
2024,Evaluation of the Chattanooga United to Reduce Violence (CURV) Initiative,NIJ FY24 Community-Based Violence Intervention and Prevention Initiative (CVIPI) Research and Evaluation,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-02985-MUMU,"$998,491",Open
2024,Evaluation of the Kings Against Violence Initiative's (KAVI) Hospital-Based Violence Intervention Program (HVIP),NIJ FY24 Research and Evaluation of Services for Victims of Crime,MDRC,NY,15PNIJ-24-GG-01745-NONF,"$1,105,591",Open
2024,Expansion of University of South Florida's BRIGHT Project to Combat Human Trafficking,NIJ FY24 Invited to Apply - Byrne Discretionary Community Project Grants/Byrne Discretionary Grants Program,UNIVERSITY OF SOUTH FLORIDA,FL,15PNIJ-24-GG-00120-BRND,"$1,850,000",Open
2024,Expert Algorithm to Identify Seized Drugs from Tandem Mass Spectra,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,WV,15PNIJ-24-GG-03856-RESS,"$399,300",Open
2024,"Exploring the Intersection of Human Trafficking, Drug Trafficking, and Other Criminal Activity in the United States","NIJ FY24 Research and Evaluation on Drugs and Crime: Money Laundering, Firearms, and Human Trafficking",NATIONAL OPINION RESEARCH CENTER,IL,15PNIJ-24-GG-01904-RESS,"$649,895",Open
2024,Exploring the Nexus of Human Trafficking and Drug Trafficking in a Border County,"NIJ FY24 Research and Evaluation on Drugs and Crime: Money Laundering, Firearms, and Human Trafficking",UNIVERSITY OF MASSACHUSETTS LOWELL,MA,15PNIJ-24-GG-01907-RESS,"$649,732",Open
2024,Facility Exposure and Crime in New York City Streets: A Latent Profile Analysis Approach,NIJ FY24 Graduate Research Fellowship,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,NY,15PNIJ-24-GG-01566-RESS,"$37,158",Open
2024,"FBI Subaward to the NIST project ""Identifying Class and Individual Characteristics of Printer Marks on Additively Manufactured Firearm Components""",NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,Federal Bureau of Investigation,,GRANT14110035-B,"$130,000",Open
2024,FIU - Forensic Technology Center of Excellence,NIJ FY24 Invited to Apply - Forensic Technology Center of Excellence (FTCOE),FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-21-GK-02191-RESS,"$350,000",Open
2024,"Forensic Technology Center of Excellence, Fiscal Year 2021",NIJ FY24 Invited to Apply - Forensic Technology Center of Excellence (FTCOE),RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-21-GK-02192-MUMU,"$2,250,000",Open
2024,Fraud Narratives: The ecology of skepticism towards Latino immigrants,NIJ FY24 Graduate Research Fellowship,UNIVERSITY OF CALIFORNIA IRVINE,CA,15PNIJ-24-GG-01581-RESS,"$120,000",Open
2024,"Funding Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering, and Medicine","NIJ FY24 Invited to Apply - Funding for Support for the Operations of the Committee on Law and Justice of the National Academies of Sciences, Engineering and Medicine",NATIONAL ACADEMY OF SCIENCES,DC,15PNIJ-23-GG-03573-NIJB,"$500,000",Open
2024,FUSE: Fast Unbiased Small-area Estimation for Timely Measurement of Community Perceptions of Policing and Public Safety,NIJ FY24 Measurement of Community Perceptions,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,IA,15PNIJ-24-GG-02841-RESS,"$499,658",Open
2024,Guiding Interpretation: Leveraging High-Density SNP Data from Major U.S. Populations for Forensic Genetic Analyses,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,Armed Forces DNA Identification Laboratory,,DJO-NIJ-25-RO-0002,"$990,468",Open
2024,Harnessing Artificial Intelligence to Evaluate Microscopic Characteristics of Skeletal Trauma,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,MAYO CLINIC ARIZONA,AZ,15PNIJ-24-GG-03844-MUMU,"$691,362",Open
